t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
    10065 ;      104 ;     O   ;         250 ;       ? ; entrada
    10085 ;       66 ;     S   ;         150 ;    6354 ; saida
    10108 ;       44 ;     S   ;         150 ;    5736 ; saida
    10134 ;      104 ;     O   ;         250 ;    4404 ; saida
    10486 ;       94 ;     E   ;         500 ;       ? ; entrada
    10500 ;       94 ;     E   ;         500 ;    5410 ; saida
    10647 ;      132 ;     E   ;          50 ;       ? ; entrada
    10661 ;      132 ;     E   ;          50 ;    2591 ; saida
    10754 ;       68 ;     S   ;         400 ;       ? ; entrada
    11009 ;       68 ;     S   ;         400 ;    7227 ; saida
    11455 ;       46 ;     S   ;         100 ;       ? ; entrada
    11527 ;       46 ;     S   ;         100 ;    7110 ; saida
    11655 ;       79 ;     S   ;         250 ;       ? ; entrada
    11829 ;       79 ;     S   ;         250 ;    7149 ; saida
    12113 ;       83 ;     S   ;         400 ;       ? ; entrada
    12195 ;       69 ;     S   ;         150 ;       ? ; entrada
    12204 ;       69 ;     S   ;         150 ;    8375 ; saida
    12212 ;       65 ;     S   ;         200 ;    8506 ; saida
    12242 ;       83 ;     S   ;         400 ;    7502 ; saida
    12250 ;       88 ;     S   ;         200 ;       ? ; entrada
    12264 ;       88 ;     S   ;         200 ;    6977 ; saida
    12628 ;       86 ;     S   ;         450 ;       ? ; entrada
    12899 ;       38 ;     E   ;         250 ;       ? ; entrada
    12915 ;       34 ;     O   ;         200 ;       ? ; entrada
    12926 ;       77 ;     S   ;         400 ;       ? ; entrada
    12938 ;       36 ;     S   ;         100 ;       ? ; entrada
    12949 ;       81 ;     S   ;         400 ;       ? ; entrada
    12973 ;       81 ;     S   ;         400 ;    8271 ; saida
    13008 ;       91 ;     S   ;         400 ;       ? ; entrada
    12964 ;       86 ;     S   ;         450 ;    7768 ; saida
    13065 ;       38 ;     E   ;         250 ;    8756 ; saida
    13115 ;       36 ;     S   ;         100 ;    8522 ; saida
    13153 ;       91 ;     S   ;         400 ;    8248 ; saida
    13217 ;       34 ;     O   ;         200 ;    8411 ; saida
    13252 ;       77 ;     S   ;         400 ;    9086 ; saida
    13294 ;      118 ;     E   ;         200 ;       ? ; entrada
    13318 ;      118 ;     E   ;         200 ;    6505 ; saida
    13618 ;      138 ;     E   ;         100 ;       ? ; entrada
    13706 ;      138 ;     E   ;         100 ;    4980 ; saida
    14447 ;      166 ;     E   ;         500 ;       ? ; entrada
    14547 ;      166 ;     E   ;         500 ;    4579 ; saida
    14796 ;      163 ;     E   ;         400 ;       ? ; entrada
    14805 ;      247 ;     E   ;         100 ;       ? ; entrada
    14813 ;      247 ;     E   ;         100 ;     550 ; saida
    14819 ;      163 ;     E   ;         400 ;    4611 ; saida
    14831 ;      169 ;     E   ;         300 ;       ? ; entrada
    14837 ;      152 ;     E   ;         300 ;       ? ; entrada
    14850 ;      152 ;     E   ;         300 ;    4537 ; saida
    14858 ;      171 ;     E   ;         100 ;       ? ; entrada
    14868 ;      171 ;     E   ;         100 ;    4441 ; saida
    14877 ;      178 ;     E   ;         100 ;       ? ; entrada
    14887 ;      178 ;     E   ;         100 ;    4112 ; saida
    14894 ;      185 ;     E   ;         150 ;       ? ; entrada
    14903 ;      169 ;     E   ;         300 ;    4609 ; saida
    14913 ;      185 ;     E   ;         150 ;    3770 ; saida
    14919 ;      194 ;     E   ;         400 ;       ? ; entrada
    14931 ;      194 ;     E   ;         400 ;    3439 ; saida
    14936 ;      196 ;     E   ;         450 ;       ? ; entrada
    14948 ;      196 ;     E   ;         450 ;    3370 ; saida
    14954 ;      197 ;     E   ;         450 ;       ? ; entrada
    14964 ;      197 ;     E   ;         450 ;    3366 ; saida
    14970 ;      198 ;     E   ;         300 ;       ? ; entrada
    15156 ;       33 ;     S   ;         350 ;       ? ; entrada
    15177 ;       33 ;     S   ;         350 ;   10348 ; saida
    15228 ;      244 ;     E   ;         200 ;       ? ; entrada
    15240 ;      156 ;     E   ;         350 ;       ? ; entrada
    15250 ;       93 ;     S   ;         300 ;   10270 ; saida
    15289 ;      244 ;     E   ;         200 ;    1130 ; saida
    16069 ;      246 ;     E   ;         500 ;       ? ; entrada
    16579 ;      201 ;     E   ;         100 ;       ? ; entrada
